ID,TxtGridDir,NWavs,NTxtGrids,Task1_wav,Task1_Prompt,Task1_Kaldi,Task1_IBM,Task1_nSpeakers,Task2_wav,Task2_Prompt,Task2_Kaldi,Task2_IBM,Task2_nSpeakers,Task3_wav,Task4_wav,Task_5_wav,Task5_Prompt,Task5_Kaldi,Task5_IBM,Task5_nSpeakers
456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
459,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
460,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
461,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
465,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
466,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
472,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
477,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
497,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
498,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
502,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
519,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
525,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
532,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
539,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
545,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
547,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
591,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
608,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
